258.583272	258.583272	258.583272	258.583272	258.583272	258.583272	258.58327	258.583167	258.572402	1.08E-02	1.05E-04	1.39E-06	1.11E-08	5.63E-11	1.96E-13	4.98E-16	9.78E-19	1.55E-21
268.927799	268.927799	268.927799	268.927799	268.927799	268.927799	268.927797	268.92768	268.916321	1.14E-02	1.19E-04	1.70E-06	1.47E-08	8.16E-11	3.09E-13	8.53E-16	1.81E-18	3.09E-21
279.272353	279.272353	279.272353	279.272353	279.272353	279.272353	279.272351	279.272218	279.260259	1.20E-02	1.34E-04	2.05E-06	1.93E-08	1.16E-10	4.78E-13	1.43E-15	3.27E-18	6.00E-21
289.61693	289.61693	289.61693	289.61693	289.61693	289.61693	289.616927	289.616779	289.604215	1.27E-02	1.50E-04	2.45E-06	2.49E-08	1.63E-10	7.26E-13	2.34E-15	5.78E-18	1.14E-20
299.961529	299.961529	299.961529	299.961529	299.961529	299.961529	299.961526	299.961361	299.948186	1.33E-02	1.67E-04	2.91E-06	3.18E-08	2.24E-10	1.08E-12	3.77E-15	9.98E-18	2.10E-20
299.969307	299.969307	299.969307	299.969307	299.969307	299.969307	299.969303	299.969121	299.955874	10.0056608	9.99246469	9.99228333	9.99227996	9.99227992	9.99227992	9.99227992	9.99227992	9.99227992
299.972946	299.972946	299.972946	299.972946	299.972946	299.972946	299.972942	299.972742	299.9593	20.0021741	19.9887814	19.9885819	19.988578	19.9885779	19.9885779	19.9885779	19.9885779	19.9885779
299.975749	299.975749	299.975749	299.975749	299.975749	299.975749	299.975745	299.975526	299.961942	29.9994592	29.9859222	29.985704	29.9856995	29.9856994	29.9856994	29.9856994	29.9856994	29.9856994
299.978081	299.978081	299.978081	299.978081	299.978081	299.978081	299.978075	299.977837	299.964153	39.9971733	39.9835353	39.9832976	39.9832924	39.9832923	39.9832923	39.9832923	39.9832923	39.9832923
299.980099	299.980099	299.980099	299.980099	299.980099	299.980099	299.980093	299.979835	299.966092	49.9951629	49.9814646	49.9812069	49.9812009	49.9812009	49.9812009	49.9812009	49.9812009	49.9812009
