200.00	200.00	200.00	200.00	200.00	200.00
200.00	200.00	200.00	200.00	200.00	196.10
200.00	200.00	200.00	200.00	200.00	191.02
200.00	200.00	200.00	200.00	200.00	185.52
200.00	200.00	200.00	200.00	199.98	179.75
200.00	200.00	200.00	200.00	199.79	173.63
200.00	200.00	200.00	200.00	197.32	165.11
200.00	200.00	200.00	200.00	192.65	154.28
200.00	200.00	200.00	200.00	187.37	142.76
200.00	200.00	200.00	200.00	181.77	130.83
200.00	200.00	200.00	200.00	175.94	118.61
200.00	200.00	200.00	200.00	169.97	110.07
200.00	200.00	200.00	200.00	163.86	102.53
200.00	200.00	200.00	200.00	157.66	95.24
200.00	200.00	200.00	199.99	151.37	88.08
200.00	200.00	200.00	199.98	145.19	81.15
200.00	200.00	200.00	199.96	141.19	76.49
200.00	200.00	200.00	199.90	139.30	74.04
200.00	200.00	200.00	199.76	137.87	72.18
200.00	200.00	200.00	199.41	136.51	70.63
200.00	200.00	200.00	198.47	134.72	69.28
200.00	200.00	200.00	195.01	130.52	68.07
200.00	200.00	200.00	190.22	125.07	66.97
200.00	200.00	200.00	184.90	119.15	65.96
200.00	200.00	200.00	179.28	112.98	65.02
200.00	200.00	200.00	173.44	106.63	64.14
200.00	200.00	200.00	167.47	100.18	63.32
200.00	200.00	200.00	161.40	93.66	62.55
200.00	200.00	200.00	155.30	87.16	61.83
200.00	200.00	200.00	149.32	80.79	61.15
200.00	200.00	199.99	143.86	74.96	60.51
200.00	200.00	199.99	140.84	71.60	59.90
200.00	200.00	199.98	139.09	69.53	59.34
200.00	200.00	199.96	137.80	67.95	58.80
200.00	200.00	199.93	136.76	66.64	58.30
200.00	200.00	199.89	135.86	65.52	57.83
200.00	200.00	199.81	135.04	64.52	57.38
200.00	200.00	199.67	134.25	63.63	56.96
200.00	200.00	199.41	133.40	62.81	56.56
200.00	200.00	198.90	132.36	62.06	56.19
200.00	200.00	197.81	130.78	61.36	55.83
200.00	200.00	194.37	126.87	60.72	55.50
200.00	200.00	189.59	121.67	60.11	55.19
200.00	200.00	184.29	115.97	59.54	54.89
200.00	200.00	178.69	110.00	59.01	54.61
200.00	200.00	172.89	103.85	58.51	54.35
200.00	200.00	166.96	97.59	58.03	54.10
200.00	200.00	160.96	91.28	57.59	53.87
200.00	200.00	154.97	85.01	57.17	53.65
200.00	199.99	149.14	78.91	56.77	53.44
200.00	199.99	143.81	73.32	56.40	53.25
200.00	199.99	140.77	70.04	56.05	53.06
200.00	199.98	139.00	68.05	55.72	52.89
200.00	199.96	137.70	66.54	55.40	52.73
200.00	199.94	136.65	65.30	55.10	52.57
200.00	199.91	135.76	64.24	54.82	52.43
200.00	199.85	134.96	63.32	54.56	52.29
200.00	199.75	134.20	62.49	54.31	52.16
200.00	199.55	133.42	61.74	54.07	52.04
200.00	199.15	132.48	61.05	53.85	51.92
200.00	198.15	130.99	60.41	53.64	51.81
200.00	194.65	127.04	59.82	53.44	51.71
200.00	189.79	121.76	59.27	53.25	51.61
200.00	184.42	116.01	58.76	53.07	51.52
200.00	178.76	109.98	58.27	52.90	51.44
200.00	172.90	103.77	57.82	52.74	51.35
200.00	166.90	97.45	57.39	52.59	51.28
200.00	160.83	91.08	56.98	52.45	51.21
200.00	154.74	84.70	56.60	52.32	51.14
199.99	148.77	78.46	56.24	52.19	51.07
199.99	143.33	72.77	55.90	52.07	51.01
199.98	140.31	69.52	55.58	51.96	50.96
199.96	138.58	67.58	55.28	51.85	50.90
199.91	137.27	66.11	54.99	51.75	50.85
199.71	136.07	64.90	54.72	51.65	50.80
198.13	133.65	63.87	54.46	51.56	50.76
193.66	128.45	62.97	54.22	51.48	50.72
188.40	122.56	62.15	53.99	51.40	50.68
182.77	116.36	61.41	53.77	51.32	50.64
176.91	109.97	60.73	53.57	51.25	50.60
170.70	103.45	60.11	53.38	51.18	50.57
160.50	96.85	59.52	53.19	51.12	50.54
149.01	90.19	58.97	53.02	51.05	50.51
137.07	83.49	58.46	52.85	51.00	50.48
124.96	76.88	57.98	52.70	50.94	50.45
114.00	71.62	57.52	52.55	50.89	50.43
105.75	69.20	57.09	52.41	50.84	50.40
98.12	67.52	56.69	52.28	50.80	50.38
90.71	66.17	56.31	52.16	50.75	50.36
83.42	65.03	55.95	52.04	50.71	50.34
76.34	64.03	55.62	51.93	50.67	50.32
73.16	63.12	55.30	51.82	50.64	50.30
71.16	62.29	55.00	51.72	50.60	50.28
69.56	61.52	54.71	51.63	50.57	50.27
68.18	60.81	54.44	51.54	50.54	50.25
66.94	60.15	54.19	51.45	50.51	50.24
65.82	59.52	53.95	51.37	50.48	50.23
64.78	58.94	53.73	51.30	50.45	50.21
63.82	58.39	53.51	51.23	50.43	50.20
62.92	57.88	53.31	51.16	50.41	50.19
62.08	57.40	53.12	51.10	50.38	50.18
61.30	56.94	52.94	51.04	50.36	50.17
60.57	56.52	52.78	50.98	50.34	50.16
59.89	56.12	52.62	50.92	50.32	50.15
59.25	55.74	52.47	50.87	50.31	50.14
58.66	55.39	52.32	50.83	50.29	50.13
58.10	55.06	52.19	50.78	50.27	50.13
57.58	54.75	52.07	50.74	50.26	50.12
57.09	54.46	51.95	50.70	50.24	50.11
56.63	54.18	51.83	50.66	50.23	50.11
56.20	53.93	51.73	50.62	50.22	50.10
55.80	53.68	51.63	50.59	50.21	50.10
55.43	53.46	51.53	50.55	50.20	50.09
55.08	53.24	51.45	50.52	50.18	50.09
54.75	53.04	51.36	50.50	50.17	50.08
54.45	52.86	51.28	50.47	50.16	50.08
54.16	52.68	51.21	50.44	50.16	50.07
53.89	52.52	51.14	50.42	50.15	50.07
53.64	52.36	51.07	50.39	50.14	50.06
53.41	52.21	51.01	50.37	50.13	50.06
53.19	52.08	50.95	50.35	50.12	50.06
