0	280.511	279.133	274.874	265.567	246.698	233.452	
1	279.958	263.822	236.77	209.321	190.374	195.446	
2	280.461	278.864	272.277	261.981	242.145	229.126	
3	280.68	282.777	283.185	279.506	264.58	246.632	
4	280.361	274.359	265.267	250.439	230.605	223.253	
5	280.25	272.609	256.573	239.96	221.302	212.881	
6	280.392	276.172	265.549	253.075	235.759	241.277	
7	280.442	273.634	267.214	259.426	238.163	207.963	
8	280.37	276.508	264.306	249.32	232.271	221.222	
9	280.341	274.743	262.769	248.998	233.322	234.508	
10	280.362	272.679	262.237	250.035	231.021	222.469	
11	280.362	274.217	261.876	248.818	228.48	214.565	
12	280.354	274.746	263.397	251.888	233.135	221.729	
13	276.592	272.976	261.321	247.954	230.666	234.464	
14	280.089	273.198	258.376	243.044	227.013	225.503	
15	281.468	271.5	260.289	250.061	228.473	202.026	
16	279.229	273.788	260.969	246.83	228.142	209.735	
17	278.6	273.33	259.976	245.941	228.314	229.152	
18	279.587	271.603	258.063	245.385	228.956	229.721	
19	279.81	271.873	256.96	243.501	226.089	212.878	
20	274.349	266.236	258.994	246.035	226.074	214.475	
21	274.996	268.473	257.016	241.48	223.038	219.113	
22	280.012	272.45	255.862	242.642	227.723	220.844	
23	278.919	270.532	257.586	243.4	224	216.138	
24	275.932	267.553	254.006	239.472	224.152	205.751	
25	276.242	267.068	254.214	241.041	223.256	227.035	
26	277.429	268.865	256.39	243.291	223.654	217.558	
27	277.144	268.734	253.389	237.563	223.237	209.114	
28	276.424	265.218	250.391	239.559	221.675	212.505	
29	273.01	266.179	254.863	238.903	222.191	217.734	
30	276.931	265.632	251.703	238.645	223.065	219.737	
31	277.411	266.475	250.737	236.552	219.443	214.151	
32	273.159	264.06	251.305	237.478	221.186	211.988	
33	274.433	265.903	252.127	237.902	220.851	205.981	
34	276.007	262.195	246.969	234.619	217.065	213.155	
35	274.892	265.017	251.34	235.532	220.639	219.498	
36	273.302	263.672	250.22	234.51	218.57	205.188	
37	274.137	262.358	247.348	235.961	218.873	214.54	
38	274.536	262.025	245.922	231.005	216.912	205.496	
39	273.429	262.077	248.769	233.799	216.532	204.797	
40	273.321	262.997	248.867	233.962	218.619	223.39	
41	271.567	261.405	246.691	232.367	216.504	204.782	
42	272.407	259.539	244.16	228.824	211.465	206.124	
43	273.398	260.816	245.616	231.449	215.696	211.845	
44	270.878	260.71	245.858	230.499	216.546	209.393	
45	272.139	261.451	245.482	230.008	215.783	209.04	
46	272.165	258.831	245.352	228.946	210.568	199.328	
47	271.089	258.367	242.48	229.153	213.974	211.788	
48	270.897	259.651	245.233	230.236	215.336	212.561	
49	271.246	260.244	244.968	226.358	209.846	202.53	
50	270.889	257.047	242.442	228.538	213.514	205.467	
51	269.32	256.783	242.59	226.791	211.685	211.948	
52	270.321	258.346	242.595	226.695	211.034	198.254	
53	270.44	257.573	243.007	228.333	211.863	206.975	
54	269.496	257.581	242.788	225.641	211.907	210.654	
55	268.92	257.256	242.34	225.549	208.656	201.37	
56	268.478	254.879	238.679	224.265	210.07	206.183	
57	268.88	255.516	239.079	223.314	210.855	198.662	
58	268.857	256.37	243.506	225.465	207.808	194.463	
59	267.697	255.301	240.335	224.811	208.839	219.806	
60	267.743	255.354	238.806	222.386	208.899	205.621	
61	269.781	254.381	238.056	224.594	211.69	195.923	
62	266.914	255.081	239.948	221.822	206.687	204.368	
63	265.277	251.723	237.065	220.462	205.592	208.259	
64	269.063	254.735	237.31	222.844	209.351	190.932	
65	267.792	254.285	239.36	221.207	205.914	203.748	
66	265.657	252.482	236.645	221.039	207.413	206.903	
67	266.154	251.061	234.453	219.998	206.669	205.821	
68	268.421	255.976	237.718	220.075	204.088	183.223	
69	263.505	250.669	236.538	218.627	207.969	202.926	
70	266.811	251.782	237.133	222.31	204.25	212.92	
71	266.16	252.678	233.084	216.84	204.471	197.965	
72	264.982	250.763	233.312	216.387	205.031	192.993	
73	264.968	251.411	237.951	220.877	204.509	206.136	
74	265.065	251.21	234.754	218.274	203.68	189.781	
75	264.746	249.885	231.163	215.117	202.89	201.971	
76	264.564	250.199	233.225	217.505	204.086	204.7	
77	266.153	252.122	234.255	217.261	204.027	196.366	
78	262.264	248.202	231.866	214.504	202.434	195.335	
79	263.568	247.858	230.511	215.171	201.777	198.821	
80	263.413	250.785	233.713	216.595	202.16	198.503	
81	264.219	249.431	232.042	215.792	203.062	200.793	
82	264.348	247.576	229.864	213.54	201.379	192.231	
83	261.29	247.906	231.521	214.675	200.44	199.763	
84	263.413	247.662	229.007	214.442	202.163	200.25	
85	262.763	248.635	231.054	213.954	201.971	195.29	
86	260.874	246.439	229.512	212.116	201.46	196.899	
87	262.326	247.79	231.587	213.871	199.162	197.495	
