0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0.164176	0.164163	0.164165	0.164165	0.164165	0.164165	0.164165	0.16412	0.166307	-0.00222608	4.34441e-05	8.80402e-08	1.59154e-10	2.83072e-13	5.02527e-16	8.90779e-19	1.58045e-21	2.8044e-24	
2	0.657781	0.657768	0.65777	0.65777	0.65777	0.65777	0.65777	0.657675	0.648226	0.00932285	9.22212e-05	1.49202e-07	2.40405e-10	3.89239e-13	6.28293e-16	1.00177e-18	1.58168e-21	2.45846e-24	
3	1.64746	1.64744	1.64744	1.64744	1.64744	1.64744	1.64744	1.64727	1.59961	0.0474088	0.000168821	2.23122e-07	3.35353e-10	5.31079e-13	8.52845e-16	1.36523e-18	2.19239e-21	3.52253e-24	
4	3.23446	3.23445	3.23445	3.23445	3.23445	3.23445	3.23445	3.23412	3.10548	0.1283	0.000324954	3.48671e-07	4.54245e-10	6.83396e-13	1.07554e-15	1.70509e-18	2.71214e-21	4.30929e-24	
5	5.46198	5.46197	5.46197	5.46197	5.46197	5.46197	5.46197	5.46132	5.19542	0.265607	0.000646967	6.24498e-07	6.59196e-10	8.74233e-13	1.31609e-15	2.05763e-18	3.25073e-21	5.13977e-24	
6	8.32981	8.3298	8.3298	8.3298	8.3298	8.3298	8.3298	8.32852	7.85925	0.469329	0.00126876	1.2743e-06	1.13566e-09	1.21347e-12	1.62988e-15	2.45079e-18	3.82626e-21	6.02152e-24	
7	11.8128	11.8128	11.8128	11.8128	11.8128	11.8128	11.8128	11.8104	11.0652	0.746076	0.00237301	2.75197e-06	2.36159e-09	2.04707e-12	2.21133e-15	2.98695e-18	4.49977e-21	7.00987e-24	
8	15.8737	15.8737	15.8737	15.8737	15.8737	15.8737	15.8737	15.8695	14.7723	1.09963	0.00419442	5.85272e-06	5.46559e-09	4.3401e-12	3.69487e-15	4.02319e-18	5.47287e-21	8.25345e-24	
9	20.471	20.471	20.471	20.471	20.471	20.471	20.471	20.464	18.9373	1.53157	0.00701369	1.19102e-05	1.2792e-08	1.05783e-11	7.97698e-15	6.74423e-18	7.42564e-21	1.0186e-23	
10	25.5626	25.5626	25.5626	25.5626	25.5626	25.5626	25.5625	25.5514	23.5184	2.04181	0.0111433	2.29956e-05	2.89425e-08	2.6526e-11	2.02483e-14	1.48062e-17	1.26089e-20	1.41775e-23	
11	31.1078	31.1078	31.1078	31.1078	31.1078	31.1078	31.1078	31.0909	28.4761	2.62906	0.0169068	4.2002e-05	6.20865e-08	6.4828e-11	5.34905e-14	3.86591e-17	2.81183e-20	2.46104e-23	
12	37.0686	37.0686	37.0686	37.0686	37.0686	37.0686	37.0685	37.0439	33.7745	3.29117	0.0246394	7.2988e-05	1.26323e-07	1.50942e-10	1.38429e-13	1.06175e-16	7.46429e-20	5.51535e-23	
13	43.4094	43.4094	43.4094	43.4094	43.4094	43.4094	43.4093	43.3747	39.3808	4.02538	0.034667	0.000121159	2.44712e-07	3.33574e-10	3.43358e-13	2.87592e-16	2.10653e-19	1.47219e-22	
14	50.0976	50.0976	50.0976	50.0976	50.0976	50.0976	50.0974	50.0503	45.2655	4.8286	0.0473155	0.000193077	4.50841e-07	7.0109e-10	8.09856e-13	7.48635e-16	5.88114e-19	4.19318e-22	
15	57.1032	57.1032	57.1032	57.1032	57.1032	57.1032	57.1029	57.0403	51.4019	5.69746	0.0628734	0.000296668	7.96825e-07	1.4073e-09	1.82224e-12	1.86215e-15	1.58786e-18	1.19424e-21	
16	64.3987	64.3987	64.3987	64.3987	64.3987	64.3987	64.3983	64.3171	57.7661	6.62848	0.0816043	0.000441531	1.35357e-06	2.70835e-09	3.91355e-12	4.42014e-15	4.11688e-18	3.31152e-21	
17	71.959	71.959	71.959	71.959	71.959	71.959	71.9584	71.8553	64.3364	7.61814	0.103737	0.000637501	2.22007e-06	5.00335e-09	8.06582e-12	1.0049e-14	1.02176e-17	8.87061e-21	
